Код;Наименование
01;Материальные активы
0101;Завершенные здания и сооружения или их части
0101001;Здания и сооружения топливно-энергетических, металлургических, химических и нефтехимических предприятий
0101002;Здания и сооружения машиностроительных предприятий
0101003;Здания и сооружения предприятий лесной, деревообрабатывающей, целлюлозно-бумажной, стекольной, фарфоро-фаянсовой, полиграфической промышленности и предприятий промышленности строительных материалов
0101004;Здания предприятий легкой, пищевой, микробиологической, мукомольно-крупяной, комбикормовой и медицинской промышленности
0101005;Здания и сооружения сельскохозяйственных предприятий и предприятий лесного хозяйства
0101006;Здания и сооружения предприятий строительной индустрии, транспорта и связи
0101007;Здания и сооружения предприятий торговли, общественного питания, жилищно-коммунального хозяйства
0101008;Здания предприятий здравоохранения, науки и научного обслуживания, образования, культуры и искусства
0101009;Исторические памятники
0101010;Здания для органов государственного управления, обороны, государственной безопасности, финансов и иностранных представительств
0101011;Сооружения - металлические конструкции. Сооружения хозяйственные металлические
0101012;Ограды (заборы), кроме металлических
0101013;Сооружения спортивно-оздоровительные
0101014;Незавершенное строительство
0101015;Здания (кроме жилых) и сооружения, не включенные в другие группировки
0101016;Жилые здания (помещения)
0101017;Здания (помещения) жилые, не входящие в жилищный фонд
0102;Предприятия, как имущественный комплекс
0103;Незавершенное строительство - конструкции, сооружения, здания
0104;Оборудование, машины, инструмент и комплектующие
0104001;Вентиляционное и климатическое оборудование
0104002;Грузоподъемное оборудование и комплектующие
0104003;Измерительное оборудование, инструмент и комплектующие
0104004;Клининговое оборудование, комплектующие, инструмент
0104005;Компьютерное оборудование, комплектующие и программное обеспечение
0104006;Котельное оборудование, инструмент, комплектующие
0104007;Медицинское оборудование, комплектующие и инструмент
0104008;Металлообрабатывающее оборудование, комплектующие, инструмент
0104009;Насосное оборудование, комплектующие, сопутствующие
0104010;Оборудование для предприятий общественного питания, комплектующие и инструмент
0104011;Оборудование, комплектующие и инструмент для ремонта и обслуживания транспорта
0104012;Офисная техника, оргтехника и комплектующие
0104013;Пожарно-охранное оборудование, комплектующие и инструмент
0104014;Полиграфическое оборудование, комплектующие и инструмент
0104015;Производственное, промышленное оборудование, комплектующие и инструмент
0104016;Санитарно-техническое оборудование, комплектующие и инструмент
0104017;Спортивное, косметологическое оборудование, комплектующие
0104018;Средства связи, комплектующие и инструмент
0104019;Строительно-отделочное оборудование, комплектующие и инструмент
0104020;Торгово-складское оборудование, инструмент и комплектующие
0104021;Электрооборудование, комплектующие и инструмент
0104022;Электродвигатели, генераторы и трансформаторы силовые
0104023;Машины и оборудование прочие, не включенные в другие группировки
0104024;Оружие спортивное, охотничье и военная техника двойного применения
0104025;Техника электронно-вычислительная
0104026;Приборы для научных исследований
0105;Инвентарь производственный и хозяйственный, приборы бытовые
0105001;Мебель специальная для производств
0105002;Приборы бытовые
0105003;Оборудование металлическое для сохранности ценностей (сейфы, несгораемые шкафы, бронированные двери и камеры)
0105004;Оборудование учебное
0105005;Инвентарь спортивный
0105006;Инвентарь для театрально-зрелищных учреждений и учреждений культуры
0105007;Часы (кроме специальных)
0105008;Тара функциональная, емкости, контейнеры
0105009;Инвентарь хозяйственно-бытового назначения
0106;Средства транспортные
0106001;Мотоциклы, мотороллеры, мопеды и прицепы к ним
0106002;Аппараты летательные космические
0106003;Велосипеды и коляски инвалидные
0106004;Прицепы и полуприцепы, фургоны
0106005;Суда спортивные, туристские и прогулочные, водно-моторный транспорт
0106006;Средства транспортные железнодорожные
0106007;Аппараты летательные воздушные
0106008;Автомобили
0106009;Суда торговые и пассажирские
0106010;Средства транспортные прочие, не включенные в другие группировки
0106011;Автобусы, микроавтобусы
0106012;Автозапчасти и сопутствующие товары
0106013;Специализированная техника
0107;Животноводство. Растениеводство
0107001;Животные звероферм
0107002;Продукция скотоводства
0107003;Животные зоопарков, цирков, служебные собаки
0107004;Продукция птицеводства
0107005;Продукция овцеводства, козоводства, кролиководства, коневодства, оленеводства, верблюдоводства
0107006;Продукция пчеловодства, шмелеводства, шелководства
0107007;Продукция рыбоводства
0107008;Удобрения растительного происхождения
0107009;Корма растительные
0107010;Растения. Луковицы, семена, саженцы, насаждения многолетние, культуры
0108;Природные активы
0108001;Земельные участки
0108002;Участки недр
0108003;Естественные биологические и водные ресурсы
0109;Сырье. Материалы для производства. Продукция промышленных производств
0109001;Сырье топливно-энергетическое
0109002;Сырье минеральное
0109003;Сырье органическое
0109004;Сырье искусственное и синтетическое
0109005;Сырье вторичное. Отходы. Лом
0109006;Материалы для упаковки и хранения
0109007;Материалы текстильные. Кожа. Фурнитура
0109008;Полимерные материалы и изделия. Асбестотехнические изделия
0109009;Строительные материалы кроме железобетонных конструкций
0109010;Материалы лакокрасочные, полупродукты, кино-, фото- и магнитные материалы и товары бытовой химии
0109011;Чугун, ферросплавы, лигатуры, сталь
0109012;Металлоизделия промышленного назначения. Металлопродукция. Металлопрокат. Арматура трубопроводная
0109013;Прокат цветных металлов
0109014;Реактивы химические и вещества высокочистые
0109015;Продукция целлюлозно-бумажной промышленности
0109016;Продукция лесозаготовительной и лесопильно-деревообрабатывающей промышленности, фанерного производства
0109017;Продукция химического и нефтяного машиностроения
0109018;Продукция общемашиностроительного применения
0109019;Взрывные устройства и взрывчатые вещества народнохозяйственного назначения
0109020;Химико-фармацевтическое сырье, продукция медицинского назначения
0110;Товары народного потребления
0110001;Аудио-видео-фото техника и комплектующие
0110002;Бытовая химия, моющие средства
0110003;Галантерея, сувениры, подарки
0110004;Зоотовары
0110005;Игрушки, игры
0110006;Канцелярские товары, офисные принадлежности
0110007;Ковры, паласы
0110008;Мебель и комплектующие
0110009;Обувь
0110010;Одежда, спецодежда
0110011;Оптические приборы
0110012;Парфюмерия, косметика, средства гигиены
0110013;Печатная, рекламная продукция
0110014;Текстиль для дома. Постельные принадлежности, полотенца
0110015;Посуда, сопутствующие товары
0110016;Прочие товары
0110017;Растения, цветы, сопутствующие товары
0110018;Ткани, фурнитура
0110019;Товары для дачи, сада
0110020;Карнизы, гардины, жалюзи
0110021;Книги, предметы искусства, издания
0110022;Продукция пищевой промышленности. Продукция мясной, молочной, рыбной, мукомольно-крупяной, комбикормовой и микробиологической промышленности
02;Нематериальные активы
0201;Оригинальные произведения развлекательного жанра, литературы или искусства
0202;Компьютерное программное обеспечение
0202001;Базы данных
0202002;Системные и прикладные программные средства
0203;Наукоемкие промышленные технологии
0203001;Наукоемкие промышленные технологии в области электронной техники
0203002;Наукоемкие промышленные технологии в области спецхимии
0203003;Биотехнологии
0203004;Наукоемкие промышленные технологии в области ракетно-космической техники
0203005;Наукоемкие промышленные технологии в области атомной техники
0203006;Наукоемкие промышленные технологии в области судостроения
0203007;Наукоемкие промышленные технологии в области радиотехники и средств связи
0203008;Наукоемкие промышленные технологии в прочих областях
0203009;Наукоемкие промышленные технологии в области авиастроения и авиационной техники
0204;Геологоразведочные работы
0205;Нематериальные основные фонды прочие
0205001;"Секреты производства (""ноу-хау"")"
0205002;Патенты
0205003;Торговые знаки
0205004;Топологии интегральных микросхем
03;Финансовые активы
0301;Права требования на краткосрочные долговые обязательства (дебиторская задолженность)
0302;Ценные бумаги
0303;Титулы собственности на капитал (акции и другие финансовые инструменты, подтверждающие заключение сделки по поводу движения финансовых ресурсов)
0304;Уступка требований по кредитным обязательствам
04;Имущественные права
0401;Права долевой собственности
0402;Вещные права на имущество
0402001;Право хозяйственного ведения имуществом
0402002;Право оперативного управления имуществом
0402003;Право пожизненного наследуемого владения земельным участком
0402004;Право постоянного (бессрочного) пользования земельным участком
0402005;Сервитут
0402006;Право аренды
0403;Уступка требований по кредитным обязательствам с залоговым имуществом
99;Прочее
